列1,列2,列3
flatten,vt.把…弄平；击倒,
credit,vt.&n.相信，信任,
commend,vt.称赞，表扬；推荐,
tanker,n.油船；空中加油飞机,
guitar,n.吉他，六弦琴,
regulation,n.规章，规则；调节,
refrain,vi.抑制，制止，忍住,
warrant,n.许可证，委任状,
rational,a.推理的；适度的,
grant,n.授予物，拨款,
uneasy,a.不安的；拘束的,
divine,a.神的；敬神的,
lining,n.(衣服里的)衬里,
burglar,n.夜盗，窃贼,
gross,a.(语言、举止)粗俗的,
errand,n.差使，差事,
instructor,n.指导者，教员,
herald,ad.传令官；通报者,
senseless,a.愚蠢的，无意义的,
coffin,n.棺材，柩,
void,a.空的；无效的,
orchestra,n.管弦乐队的全部乐器,
velocity,n.迅速，快速,
composer,n.作曲家；调停人,
position,n.主张，立场；形势,
spiral,a.螺旋(形)的，盘旋的,
replacement,n.归还；取代；置换,
lessen,vt.减少,vi.变少
ohm,n.欧姆,
systematically,ad.系统地，有规则地,
govern,vt.决定，支配；控制,
descendant,n.子孙，后裔；弟子,
erect,a.竖起的,
thereof,ad.它的，其；由此,
dependant,n.受赡养者；侍从,
offer,vt.呈现出,vi.出现
possibility,n.可能的事,
ruby,n.红宝石,
forum,n.论坛，讨论会,
baffle,vt.使挫折,n.迷惑
electrode,n.电极；电焊条,
notion,n.概念，意念；看法,
expel,vt.驱逐，开除；排出,
persistence,n.坚持；持续，存留,
ultrasonic,a.超声的,n.超声波
amplitude,n.广大；充足；振幅,
stationery,n.文具；信笺,
bump,vt.撞击,vi.撞
serpent,n.蛇(尤指大蛇或毒蛇),
manuscript,n.手稿，底稿，原稿,
dominant,a.统治的,n.主因
storm,n.爆发,vt.&vi.猛攻
tiresome,a.使人厌倦的，讨厌的,
cigar,n.雪茄烟，叶卷烟,
prejudice,n.偏见，成见；损害,
magician,n.魔法师；变戏法的人,
immortal,a.不朽的；永生的,
substantial,a.物质的；坚固的,
quench,vt.熄灭，扑灭；压制,
diploma,n.毕业文凭，学位证书,
reef,n.礁，礁石，暗礁,
descent,n.下降；出身；斜坡,
desert,vt.遗弃；擅离(职守),
deputy,n.代理人,a.副的
feel,vi.摸起来,
flutter,vi.(鸟)振翼；飘动,
plateau,n.高原；平稳时期,
dessert,n.甜点心,
what,a.所…的，尽可能多的,
probe,n.探针,vt.用探针探查
irritate,vt.激怒；引起不愉快,
breakdown,n.崩溃，倒塌；失败,
adore,vt.崇拜；很喜欢,
propagate,vt.繁殖；传播，普及,
abstract,a.理论上的,n.抽象
stiffness,n.硬度,
initiate,vt.开始，创始；启蒙,
cheat,n.欺诈；骗取,
